SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,6313 Manchester Way,Alexandria,VA,22304,799000,3,4.0,LANDMARK MEWS,2885,2377,1983,3,277,165,Active,,,https://www.redfin.com/VA/Alexandria/6313-Manchester-Way-22304/home/9724511,BRIGHT MLS,VAFX2032040,N,Y,38.811189,-77.146122
MLS Listing,,Single Family Residential,108 N Donelson St,Alexandria,VA,22304,600000,2,1.0,DELTA,1404,10025,1949,3,427,,Active,,,https://www.redfin.com/VA/Alexandria/108-N-Donelson-St-22304/home/11852932,BRIGHT MLS,VAAX2005860,N,Y,38.8114262,-77.0967582
MLS Listing,,Condo/Co-op,2500 N Van Dorn St #1604,Alexandria,VA,22302,200000,2,1.0,PARK PLACE,928,,1965,3,216,771,Active,,,https://www.redfin.com/VA/Alexandria/2500-N-Van-Dorn-St-22302/unit-1604/home/166997329,BRIGHT MLS,VAAX2006058,N,Y,38.8326778,-77.0997478
MLS Listing,,Condo/Co-op,60 S Van Dorn St S #207,Alexandria,VA,22304,172999,1,1.0,TWENTY-ONE,708,,2005,3,244,460,Active,,,https://www.redfin.com/VA/Alexandria/60-S-Van-Dorn-St-22304/unit-207/home/11879945,BRIGHT MLS,VAAX2006074,N,Y,38.8124601,-77.1284324
MLS Listing,,Condo/Co-op,6101 Edsall Rd #307,Alexandria,VA,22304,320000,2,2.0,ALEXANDRIA KNOLLS,1408,,1975,3,227,933,Active,,,https://www.redfin.com/VA/Alexandria/6101-Edsall-Rd-22304/unit-307/home/11854797,BRIGHT MLS,VAAX2005884,N,Y,38.8082399,-77.1378654
MLS Listing,,Single Family Residential,4511 Bee St,Alexandria,VA,22310,699000,3,3.5,ROSE HILL FARM PIATTIS A,1864,10500,1983,3,375,,Active,,,https://www.redfin.com/VA/Alexandria/4511-Bee-St-22310/home/9757755,BRIGHT MLS,VAFX2032790,N,Y,38.7781125,-77.111998
MLS Listing,,Townhouse,1323 Queen St,Alexandria,VA,22314,800000,3,2.0,OLD TOWN ALEXANDRIA,1424,1221,1950,3,562,,Active,,,https://www.redfin.com/VA/Alexandria/1323-Queen-St-22314/home/11839803,BRIGHT MLS,VAAX2005946,N,Y,38.808482,-77.053897
MLS Listing,,Single Family Residential,6013 Saint John Dr,Alexandria,VA,22310,679999,4,2.5,SHADY HILL,2142,20001,1961,3,317,,Active,,,https://www.redfin.com/VA/Alexandria/6013-St-John-Dr-22310/home/9753614,BRIGHT MLS,VAFX2031942,N,Y,38.7866452,-77.1423371
MLS Listing,,Condo/Co-op,1023 N Royal St #106,Alexandria,VA,22314,550000,1,1.0,ABINGDON ROW,831,,2007,3,662,360,Active,,,https://www.redfin.com/VA/Alexandria/1023-N-Royal-St-22314/unit-106/home/21648874,BRIGHT MLS,VAAX2005560,N,Y,38.8153268,-77.0410282
MLS Listing,,Condo/Co-op,3951 San Leandro Pl Unit E,Alexandria,VA,22309,265000,3,2.0,SEQUOYAH CONDO,1232,,1974,3,215,530,Active,,,https://www.redfin.com/VA/Alexandria/3951-San-Leandro-Pl-22309/unit-E/home/35629997,BRIGHT MLS,VAFX2033190,N,Y,38.7442748,-77.0991498
MLS Listing,,Condo/Co-op,5505 Seminary Rd Unit 218N,Falls Church,VA,22041,210000,1,1.0,SKYLINE SQUARE CONDO,646,,1987,4,325,277,Active,,,https://www.redfin.com/VA/Falls-Church/5505-Seminary-Rd-22041/unit-218N/home/9660293,BRIGHT MLS,VAFX2033186,N,Y,38.8428843,-77.1206061
MLS Listing,,Townhouse,2231 Roanoke Dr,Alexandria,VA,22307,469500,2,2.0,BEACON MANOR,896,3745,1951,4,524,,Active,,,https://www.redfin.com/VA/Alexandria/2231-Roanoke-Dr-22307/home/9791835,BRIGHT MLS,VAFX2026134,N,Y,38.7690646,-77.0698086
MLS Listing,,Single Family Residential,6014 Lomack Ct,Alexandria,VA,22312,549900,3,1.5,LINCOLNIA HILLS,1636,14902,1958,4,336,,Active,,,https://www.redfin.com/VA/Alexandria/6014-Lomack-Ct-22312/home/11856747,BRIGHT MLS,VAAX2005742,N,Y,38.8258375,-77.13618
MLS Listing,,Townhouse,6606 Dunwich Way,Alexandria,VA,22315,700000,3,3.0,KINGSTOWNE SEC 33B,2156,1870,1990,4,325,105,Active,,,https://www.redfin.com/VA/Alexandria/6606-Dunwich-Way-22315/home/9784004,BRIGHT MLS,VAFX2030046,N,Y,38.7740493,-77.1407305
MLS Listing,,Townhouse,6624 Morning View Ct,Alexandria,VA,22315,435000,2,1.5,LANDSDOWNE,1080,1995,1988,4,403,102,Active,,,https://www.redfin.com/VA/Alexandria/6624-Morning-View-Ct-22315/home/9806931,BRIGHT MLS,VAFX2032092,N,Y,38.7417008,-77.169265
