SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8927 Lake Braddock Dr,Burke,VA,22015,820000,5,3.5,SIGNAL HILL,2607,8651,1977,39,315,17,Active,,,https://www.redfin.com/VA/Burke/8927-Lake-Braddock-Dr-22015/home/9735798,BRIGHT MLS,VAFX2075040,N,Y,38.7992954,-77.2519877
MLS Listing,,Single Family Residential,7215 Adrienne Glen Ave,Springfield,VA,22152,785000,5,3.5,SPRING FOREST,2716,8800,1981,40,289,,Active,,,https://www.redfin.com/VA/Springfield/7215-Adrienne-Glen-Ave-22152/home/9775227,BRIGHT MLS,VAFX2074966,N,Y,38.7579086,-77.2360473
MLS Listing,,Single Family Residential,9010 Lake Braddock Dr,Burke,VA,22015,825000,4,2.5,SIGNAL HILL,2353,9112,1978,41,351,12,Active,,,https://www.redfin.com/VA/Burke/9010-Lake-Braddock-Dr-22015/home/9735884,BRIGHT MLS,VAFX2073290,N,Y,38.7996144,-77.2537836
MLS Listing,,Single Family Residential,9003 Strattondale Ct,Burke,VA,22015,699000,5,3.0,BURKE STATION SQUARE,1394,9513,1973,46,501,19,Active,,,https://www.redfin.com/VA/Burke/9003-Strattondale-Ct-22015/home/9739039,BRIGHT MLS,VAFX2071000,N,Y,38.7902863,-77.2552653
MLS Listing,,Townhouse,8868 Eagle Rock Ln,Springfield,VA,22153,625000,3,3.5,MIDDLEFORD SEC 2,2324,1400,1992,46,269,83,Active,,,https://www.redfin.com/VA/Springfield/8868-Eagle-Rock-Ln-22153/home/9775680,BRIGHT MLS,VAFX2072024,N,Y,38.754,-77.249596
MLS Listing,,Single Family Residential,8841 Applecross Ln,Springfield,VA,22153,835000,4,2.5,ROLLING VALLEY,2608,10288,1973,46,320,12,Active,,,https://www.redfin.com/VA/Springfield/8841-Applecross-Ln-22153/home/9769929,BRIGHT MLS,VAFX2073278,N,Y,38.7602012,-77.2502366
MLS Listing,,Vacant Land,7300-A Edge Creek Ln,Springfield,VA,22152,399500,,,Springfield,,28149,,47,,,Active,,,https://www.redfin.com/VA/West-Springfield/7300-A-Edge-Creek-LN-22152/home/179697756,BRIGHT MLS,VAFX2074066,N,Y,38.75768339,-77.22970992
MLS Listing,,Townhouse,5648 Sutherland Ct,Burke,VA,22015,549000,3,3.0,CROWNLEIGH SEC,1408,1650,1983,54,390,90,Active,,,https://www.redfin.com/VA/Burke/5648-Sutherland-Ct-22015/home/9734823,BRIGHT MLS,VAFX2067580,N,Y,38.7990353,-77.2762309
MLS Listing,,Townhouse,6068 Clerkenwell Ct,Burke,VA,22015,495000,4,3.5,CARDINAL GLEN SEC 1,1480,1650,1976,61,334,80,Active,,,https://www.redfin.com/VA/Burke/6068-Clerkenwell-Ct-22015/home/9737130,BRIGHT MLS,VAFX2070962,N,Y,38.788269,-77.274133
MLS Listing,,Townhouse,9032 Armendown Dr,Springfield,VA,22152,525000,3,3.0,SHANNON STATION,1448,1600,1983,63,363,83,Active,,,https://www.redfin.com/VA/Springfield/9032-Armendown-Dr-22152/home/9740295,BRIGHT MLS,VAFX2068912,N,Y,38.7788519,-77.2578132
MLS Listing,,Vacant Land,7300 Edge Creek Ln,West Springfield,VA,22152,799000,,,HOOES ROAD,,73323,,67,,,Active,,,https://www.redfin.com/VA/Springfield/7300-Edge-Creek-Ln-22152/home/40274114,BRIGHT MLS,VAFX2069742,N,Y,38.7575659,-77.2296285
MLS Listing,,Townhouse,6585 Forest Dew Ct,Springfield,VA,22152,475000,2,3.0,KEENE MILL VILLAGE SEC 3,1400,1600,1985,73,339,110,Active,,,https://www.redfin.com/VA/Springfield/6585-Forest-Dew-Ct-22152/home/9768370,BRIGHT MLS,VAFX2064966,N,Y,38.7761941,-77.2594295
